n_steps,audit_probability,return_fidelity,expected_score,classical_memory_bound,collective_classical_record_bound,raw_margin_above_classical,systematic_per_branch,null_slack,adjusted_margin,alpha,beta,planned_audit_trials,planned_return_trials,planned_total_trials,planning_feasible
28,0.9703793429483027,0.914718606950709,0.9425489749495058,0.75,0.8535533905932737,0.19254897494950585,0.005,0.005,0.18254897494950584,0.01,0.1,101,101,202,True
29,0.9694385842624061,0.9119744511298569,0.9407065176961316,0.75,0.8535533905932737,0.19070651769613156,0.005,0.005,0.18070651769613155,0.01,0.1,103,103,206,True
30,0.9684997070938813,0.9092385277764673,0.9388691174351743,0.75,0.8535533905932737,0.18886911743517432,0.005,0.005,0.1788691174351743,0.01,0.1,105,105,210,True
31,0.9675627076796935,0.9065108121931379,0.9370367599364158,0.75,0.8535533905932737,0.18703675993641578,0.005,0.005,0.17703675993641577,0.01,0.1,108,107,215,True
32,0.9666275822643342,0.9037912797565584,0.9352094310104463,0.75,0.8535533905932737,0.1852094310104463,0.005,0.005,0.17520943101044628,0.01,0.1,110,109,219,True
33,0.9656943270998055,0.9010799059172888,0.9333871165085472,0.75,0.8535533905932737,0.18338711650854722,0.005,0.005,0.1733871165085472,0.01,0.1,112,112,224,True
34,0.9647629384456059,0.8983766661995368,0.9315698023225714,0.75,0.8535533905932737,0.18156980232257136,0.005,0.005,0.17156980232257135,0.01,0.1,114,114,228,True
35,0.9638334125687147,0.8956815362009383,0.9297574743848265,0.75,0.8535533905932737,0.17975747438482648,0.005,0.005,0.16975747438482647,0.01,0.1,116,117,233,True
36,0.9629057457435772,0.8929944915923355,0.9279501186679564,0.75,0.8535533905932737,0.1779501186679564,0.005,0.005,0.1679501186679564,0.01,0.1,119,119,238,True
37,0.96197993425209,0.8903155081175584,0.9261477211848242,0.75,0.8535533905932737,0.17614772118482425,0.005,0.005,0.16614772118482424,0.01,0.1,122,122,244,True
38,0.9610559743835859,0.8876445615932058,0.9243502679883959,0.75,0.8535533905932737,0.17435026798839592,0.005,0.005,0.16435026798839591,0.01,0.1,124,125,249,True
39,0.9601338624348188,0.8849816279084263,0.9225577451716225,0.75,0.8535533905932737,0.17255774517162248,0.005,0.005,0.16255774517162247,0.01,0.1,127,127,254,True
40,0.9592135947099492,0.882326683024701,0.9207701388673251,0.75,0.8535533905932737,0.17077013886732506,0.005,0.005,0.16077013886732505,0.01,0.1,130,130,260,True
41,0.9582951675205292,0.8796797029756268,0.918987435248078,0.75,0.8535533905932737,0.16898743524807802,0.005,0.005,0.158987435248078,0.01,0.1,133,133,266,True
42,0.9573785771854881,0.8770406638666999,0.917209620526094,0.75,0.8535533905932737,0.167209620526094,0.005,0.005,0.157209620526094,0.01,0.1,136,136,272,True
43,0.9564638200311173,0.8744095418750998,0.9154366809531085,0.75,0.8535533905932737,0.16543668095310848,0.005,0.005,0.15543668095310847,0.01,0.1,139,139,278,True
44,0.955550892391055,0.8717863132494744,0.9136686028202647,0.75,0.8535533905932737,0.16366860282026474,0.005,0.005,0.15366860282026473,0.01,0.1,142,143,285,True
45,0.9546397906062729,0.869170954309726,0.9119053724579995,0.75,0.8535533905932737,0.16190537245799952,0.005,0.005,0.1519053724579995,0.01,0.1,146,145,291,True
46,0.9537305110250603,0.8665634414467969,0.9101469762359287,0.75,0.8535533905932737,0.16014697623592866,0.005,0.005,0.15014697623592865,0.01,0.1,149,149,298,True
