n_steps,audit_weight,streaming_classical_memory_bound,exposed_audit_probability,exposed_return_fidelity,optimal_local_strength,optimal_strategy,collective_classical_record_bound,coherent_memory_algebraic_score
16,0.74,0.7400039676255215,0.9999999995399733,1.526140746578825e-05,0.9999999999424967,equal_weak_measurement,0.8921734310225515,1.0
16,0.75,0.7500038150077533,0.9999999995859516,1.526127315795328e-05,0.999999999948244,equal_weak_measurement,0.8952847075210475,1.0
16,0.76,0.7600036623917533,0.999999999628395,1.5261142387729427e-05,0.9999999999535494,equal_weak_measurement,0.8984971769034256,1.0
16,0.77,0.7700035097774521,0.99999999966753,1.5261015017164695e-05,0.9999999999584412,equal_weak_measurement,0.9018084120572888,1.0
16,0.78,0.780003357164783,0.999999999703566,1.526089091538779e-05,0.9999999999629458,equal_weak_measurement,0.9052159917870962,1.0
16,0.79,0.7900032045536846,0.9999999997367004,1.526076995815957e-05,0.9999999999670875,equal_weak_measurement,0.9087175063537162,1.0
16,0.8,0.8000030519440984,0.9999999997671161,1.5260652027458196e-05,0.9999999999708895,equal_weak_measurement,0.9123105625617661,1.0
16,0.81,0.8100028993359681,0.9999999997949827,1.526053701109507e-05,0.9999999999743728,equal_weak_measurement,0.9159927883990299,1.0
16,0.8200000000000001,0.820002746729241,0.9999999998204592,1.5260424802358674e-05,0.9999999999775574,equal_weak_measurement,0.9197618372363072,1.0
16,0.8300000000000001,0.8300025941238648,0.9999999998436913,1.5260315299684615e-05,0.9999999999804614,equal_weak_measurement,0.9236153915995027,1.0
16,0.84,0.8400024415197924,0.9999999998648184,1.5260208406348737e-05,0.9999999999831023,equal_weak_measurement,0.9275511665286389,1.0
16,0.85,0.8500022889169776,0.9999999998839684,1.5260104030182343e-05,0.999999999985496,equal_weak_measurement,0.9315669125408017,1.0
16,0.86,0.860002136315377,0.9999999999012621,1.5260002083307013e-05,0.9999999999876578,equal_weak_measurement,0.9356604182158392,1.0
16,0.87,0.8700019837149479,0.9999999999168105,1.5259902481888023e-05,0.9999999999896013,equal_weak_measurement,0.9398295124249849,1.0
16,0.88,0.8800018311156507,0.9999999999307194,1.5259805145904254e-05,0.9999999999913399,equal_weak_measurement,0.9440720662234903,1.0
16,0.89,0.8900016785174468,0.9999999999430864,1.5259709998933694e-05,0.9999999999928858,equal_weak_measurement,0.9483859944289073,1.0
16,0.9,0.9000015259203011,0.9999999999540048,1.5259616967953618e-05,0.9999999999942506,equal_weak_measurement,0.9527692569068709,1.0
16,0.91,0.9100013733241764,0.999999999963558,1.5259525983153368e-05,0.9999999999954448,equal_weak_measurement,0.9572198595861733,1.0
16,0.92,0.9200012207290416,0.9999999999718296,1.525943697775997e-05,0.9999999999964787,equal_weak_measurement,0.9617358552246078,1.0
16,0.93,0.930001068134863,0.9999999999788933,1.5259349887874103e-05,0.9999999999973617,equal_weak_measurement,0.9663153439465616,1.0
16,0.9400000000000001,0.9400009155416118,0.9999999999848219,1.525926465231944e-05,0.9999999999981027,equal_weak_measurement,0.9709564735726648,1.0
16,0.9500000000000001,0.950000762949257,0.9999999999896803,1.5259181212493366e-05,0.99999999999871,equal_weak_measurement,0.9756574397610112,1.0
16,0.96,0.9600006103577714,0.9999999999935323,1.52590995122405e-05,0.9999999999991915,equal_weak_measurement,0.9804164859785726,1.0
16,0.97,0.9700004577671284,0.9999999999964366,1.5259019497721462e-05,0.9999999999995546,equal_weak_measurement,0.9852319033204638,1.0
16,0.98,0.9800003051773017,0.9999999999984484,1.5258941117296e-05,0.999999999999806,equal_weak_measurement,0.9901020301937138,1.0
16,0.99,0.9900001525882668,0.9999999999996199,1.525886432141182e-05,0.9999999999999525,equal_weak_measurement,0.995025251881154,1.0
16,1.0,1.0,1.0,1.52587890625e-05,1.0,projective_each_slot,1.0,1.0
